Organization,Model Name,Model String for API,Context length
01.AI,01-ai Yi Chat (34B),zero-one-ai/Yi-34B-Chat,4096
Allen AI,OLMo Instruct (7B),allenai/OLMo-7B-Instruct,2048
Allen AI,OLMo Twin-2T (7B),allenai/OLMo-7B-Twin-2T,2048
Allen AI,OLMo (7B),allenai/OLMo-7B,2048
Austism,Chronos Hermes (13B),Austism/chronos-hermes-13b,2048
cognitivecomputations,Dolphin 2.5 Mixtral 8x7b,cognitivecomputations/dolphin-2.5-mixtral-8x7b,32768
databricks,DBRX Instruct,databricks/dbrx-instruct,32768
DeepSeek,Deepseek Coder Instruct (33B),deepseek-ai/deepseek-coder-33b-instruct,16384
DeepSeek,DeepSeek LLM Chat (67B),deepseek-ai/deepseek-llm-67b-chat,4096
garage-bAInd,Platypus2 Instruct (70B),garage-bAInd/Platypus2-70B-instruct,4096
Google,Gemma Instruct (2B),google/gemma-2b-it,8192
Google,Gemma Instruct (7B),google/gemma-7b-it,8192
Gryphe,MythoMax-L2 (13B),Gryphe/MythoMax-L2-13b,4096
LM Sys,Vicuna v1.5 (13B),lmsys/vicuna-13b-v1.5,4096
LM Sys,Vicuna v1.5 (7B),lmsys/vicuna-7b-v1.5,4096
Meta,Code Llama Instruct (13B),codellama/CodeLlama-13b-Instruct-hf,16384
Meta,Code Llama Instruct (34B),codellama/CodeLlama-34b-Instruct-hf,16384
Meta,Code Llama Instruct (70B),codellama/CodeLlama-70b-Instruct-hf,4096
Meta,Code Llama Instruct (7B),codellama/CodeLlama-7b-Instruct-hf,16384
Meta,LLaMA-2 Chat (70B),meta-llama/Llama-2-70b-chat-hf,4096
Meta,LLaMA-2 Chat (13B),meta-llama/Llama-2-13b-chat-hf,4096
Meta,LLaMA-2 Chat (7B),meta-llama/Llama-2-7b-chat-hf,4096
Meta,LLaMA-3 Chat (8B),meta-llama/Llama-3-8b-chat-hf,8000
Meta,LLaMA-3 Chat (70B),meta-llama/Llama-3-70b-chat-hf,8000
mistralai,Mistral (7B) Instruct,mistralai/Mistral-7B-Instruct-v0.1,8192
mistralai,Mistral (7B) Instruct v0.2,mistralai/Mistral-7B-Instruct-v0.2,32768
mistralai,Mixtral-8x7B Instruct (46.7B),mistralai/Mixtral-8x7B-Instruct-v0.1,32768
mistralai,Mixtral-8x22B Instruct (141B),mistralai/Mixtral-8x22B-Instruct-v0.1,65536
NousResearch,Nous Capybara v1.9 (7B),NousResearch/Nous-Capybara-7B-V1p9,8192
NousResearch,Nous Hermes 2 - Mistral DPO (7B),NousResearch/Nous-Hermes-2-Mistral-7B-DPO,32768
NousResearch,Nous Hermes 2 - Mixtral 8x7B-DPO (46.7B),NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,32768
NousResearch,Nous Hermes 2 - Mixtral 8x7B-SFT (46.7B),NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,32768
NousResearch,Nous Hermes LLaMA-2 (7B),NousResearch/Nous-Hermes-llama-2-7b,4096
NousResearch,Nous Hermes Llama-2 (13B),NousResearch/Nous-Hermes-Llama2-13b,4096
NousResearch,Nous Hermes-2 Yi (34B),NousResearch/Nous-Hermes-2-Yi-34B,4096
OpenChat,OpenChat 3.5 (7B),openchat/openchat-3.5-1210,8192
OpenOrca,OpenOrca Mistral (7B) 8K,Open-Orca/Mistral-7B-OpenOrca,8192
Qwen,Qwen 1.5 Chat (0.5B),Qwen/Qwen1.5-0.5B-Chat,32768
Qwen,Qwen 1.5 Chat (1.8B),Qwen/Qwen1.5-1.8B-Chat,32768
Qwen,Qwen 1.5 Chat (4B),Qwen/Qwen1.5-4B-Chat,32768
